round,region,winner_seed,winner_team,winner_score,loser_seed,loser,loser_score,score_diff,year
Elite Eight,Midwest,3,Stanford,79,8,Rhode Island,77,2,1998
Elite Eight,South,2,Kentucky,86,1,Duke,84,2,1998
National Semifinals,National Semifinals,2,Kentucky,86,3,Stanford,85,1,1998
National Semifinals,National Semifinals,3,Utah,65,1,North Carolina,59,6,1998
National Championship,National Championship,2,Kentucky,78,3,Utah,69,9,1998
Round of 64,South,1,Auburn,80,16,Winthrop,41,39,1999
Round of 64,South,2,Maryland,82,15,Valparaiso,60,22,1999
Round of 64,South,3,"St. John's, New York",69,14,Samford,43,26,1999
Round of 64,South,4,Ohio State,72,13,Murray State,58,14,1999
Round of 64,South,6,Indiana,108,11,George Washington,88,20,1999
Round of 64,South,9,Oklahoma State,69,8,Syracuse,61,8,1999
Round of 64,South,10,Creighton,62,7,Louisville,58,4,1999
Round of 64,South,12,Detroit,56,5,UCLA,53,3,1999
Round of 64,West,1,Connecticut,91,16,Texas-San Antonio,66,25,1999
Round of 64,West,2,Stanford,69,15,Alcorn State,57,12,1999
Round of 64,West,4,Arkansas,94,13,Siena,80,14,1999
Round of 64,West,5,Iowa,77,12,UAB,64,13,1999
Round of 64,West,6,Florida,75,11,Pennsylvania,61,14,1999
Round of 64,West,9,New Mexico,61,8,Missouri,59,2,1999
Round of 64,West,10,Gonzaga,75,7,Minnesota,63,12,1999
Round of 64,West,14,Weber State,76,3,North Carolina,74,2,1999
Round of 64,East,1,Duke,99,16,Florida A&M,58,41,1999
Round of 64,East,2,"Miami, Florida",75,15,Lafayette,54,21,1999
Round of 64,East,3,Cincinnati,72,14,George Mason,48,24,1999
Round of 64,East,4,Tennessee,62,13,Delaware,52,10,1999
Round of 64,East,6,Temple,61,11,Kent State,54,7,1999
Round of 64,East,9,Tulsa,62,8,"Charleston, South Carolina",53,9,1999
Round of 64,East,10,Purdue,58,7,Texas,54,4,1999
Round of 64,East,12,Missouri State,43,5,Wisconsin,32,11,1999
Round of 64,Midwest,1,Michigan State,76,16,"Mt. St. Mary's, Maryland",53,23,1999
Round of 64,Midwest,2,Utah,80,15,Arkansas State,58,22,1999
Round of 64,Midwest,3,Kentucky,82,14,New Mexico State,60,22,1999
Round of 64,Midwest,5,Charlotte,81,12,Rhode Island,70,11,1999
Round of 64,Midwest,6,Kansas,95,11,Evansville,74,21,1999
Round of 64,Midwest,9,Mississippi,72,8,Villanova,70,2,1999
Round of 64,Midwest,10,"Miami, Ohio",59,7,Washington,58,1,1999
Round of 64,Midwest,13,Oklahoma,61,4,Arizona,60,1,1999
Round of 32,South,1,Auburn,81,9,Oklahoma State,74,7,1999
Round of 32,South,2,Maryland,75,10,Creighton,63,12,1999
Round of 32,South,3,"St. John's, New York",86,6,Indiana,61,25,1999
Round of 32,South,4,Ohio State,75,12,Detroit,44,31,1999
Round of 32,West,1,Connecticut,78,9,New Mexico,56,22,1999
Round of 32,West,5,Iowa,82,4,Arkansas,72,10,1999
Round of 32,West,6,Florida,82,14,Weber State,74,8,1999
Round of 32,West,10,Gonzaga,82,2,Stanford,74,8,1999
Round of 32,East,1,Duke,97,9,Tulsa,56,41,1999
Round of 32,East,6,Temple,64,3,Cincinnati,54,10,1999
Round of 32,East,10,Purdue,73,2,"Miami, Florida",63,10,1999
Round of 32,East,12,Missouri State,81,4,Tennessee,51,30,1999
Round of 32,Midwest,1,Michigan State,74,9,Mississippi,66,8,1999
Round of 32,Midwest,3,Kentucky,92,6,Kansas,88,4,1999
Round of 32,Midwest,10,"Miami, Ohio",66,2,Utah,58,8,1999
Round of 32,Midwest,13,Oklahoma,85,5,Charlotte,72,13,1999
Sweet Sixteen,South,3,"St. John's, New York",76,2,Maryland,62,14,1999
Sweet Sixteen,South,4,Ohio State,72,1,Auburn,64,8,1999
Sweet Sixteen,West,1,Connecticut,78,5,Iowa,68,10,1999
Sweet Sixteen,West,10,Gonzaga,73,6,Florida,72,1,1999
Sweet Sixteen,East,1,Duke,78,12,Missouri State,61,17,1999
Sweet Sixteen,East,6,Temple,77,10,Purdue,55,22,1999
Sweet Sixteen,Midwest,1,Michigan State,54,13,Oklahoma,46,8,1999
Sweet Sixteen,Midwest,3,Kentucky,58,10,"Miami, Ohio",43,15,1999
Elite Eight,South,4,Ohio State,77,3,"St. John's, New York",74,3,1999
Elite Eight,West,1,Connecticut,67,10,Gonzaga,62,5,1999
Elite Eight,East,1,Duke,85,6,Temple,64,21,1999
Elite Eight,Midwest,1,Michigan State,73,3,Kentucky,66,7,1999
National Semifinals,National Semifinals,1,Duke,68,1,Michigan State,62,6,1999
National Semifinals,National Semifinals,1,Connecticut,64,4,Ohio State,58,6,1999
National Championship,National Championship,1,Connecticut,77,1,Duke,74,3,1999
Round of 64,Midwest,1,Michigan State,65,16,Valparaiso,38,27,2000
Round of 64,Midwest,2,Iowa State,88,15,Central Connecticut State,78,10,2000
Round of 64,Midwest,3,Maryland,74,14,Iona,59,15,2000
Round of 64,Midwest,4,Syracuse,79,13,Samford,65,14,2000
Round of 64,Midwest,5,Kentucky,85,12,St. Bonaventure,80,5,2000
Round of 64,Midwest,6,UCLA,65,11,Ball State,57,8,2000
Round of 64,Midwest,7,Auburn,72,10,Creighton,69,3,2000
Round of 64,Midwest,8,Utah,48,9,St. Louis,45,3,2000
Round of 64,West,1,Arizona,71,16,Jackson State,47,24,2000
Round of 64,West,2,"St. John's, New York",61,15,Northern Arizona,56,5,2000
Round of 64,West,3,Oklahoma,74,14,Winthrop,60,14,2000
Round of 64,West,4,Louisiana State,64,13,Southeast Missouri State,61,3,2000
Round of 64,West,5,Texas,77,12,Indiana State,61,16,2000
Round of 64,West,6,Purdue,62,11,Dayton,61,1,2000
Round of 64,West,8,Wisconsin,66,9,Fresno State,56,10,2000
Round of 64,West,10,Gonzaga,77,7,Louisville,66,11,2000
Round of 64,East,1,Duke,82,16,Lamar,55,27,2000
Round of 64,East,2,Temple,73,15,Lafayette,47,26,2000
Round of 64,East,3,Oklahoma State,86,14,Hofstra,66,20,2000
Round of 64,East,4,Illinois,68,13,Pennsylvania,58,10,2000
Round of 64,East,5,Florida,69,12,Butler,68,1,2000
Round of 64,East,8,Kansas,81,9,DePaul,77,4,2000
Round of 64,East,10,Seton Hall,72,7,Oregon,71,1,2000
Round of 64,East,11,Pepperdine,77,6,Indiana,57,20,2000
Round of 64,South,1,Stanford,84,16,South Carolina State,65,19,2000
Round of 64,South,2,Cincinnati,64,15,North Carolina-Wilmington,47,17,2000
Round of 64,South,3,Ohio State,87,14,Appalachian State,61,26,2000
Round of 64,South,4,Tennessee,63,13,Louisiana-Lafayette,58,5,2000
Round of 64,South,5,Connecticut,75,12,Utah State,67,8,2000
Round of 64,South,6,"Miami, Florida",75,11,Arkansas,71,4,2000
Round of 64,South,7,Tulsa,89,10,Nevada-Las Vegas,62,27,2000
Round of 64,South,8,North Carolina,84,9,Missouri,70,14,2000
Round of 32,Midwest,1,Michigan State,73,8,Utah,61,12,2000
Round of 32,Midwest,2,Iowa State,79,7,Auburn,60,19,2000
Round of 32,Midwest,4,Syracuse,52,5,Kentucky,50,2,2000
Round of 32,Midwest,6,UCLA,105,3,Maryland,70,35,2000
Round of 32,West,4,Louisiana State,72,5,Texas,67,5,2000
Round of 32,West,6,Purdue,66,3,Oklahoma,62,4,2000
Round of 32,West,8,Wisconsin,66,1,Arizona,59,7,2000
Round of 32,West,10,Gonzaga,82,2,"St. John's, New York",76,6,2000
Round of 32,East,1,Duke,69,8,Kansas,64,5,2000
Round of 32,East,3,Oklahoma State,75,11,Pepperdine,67,8,2000
Round of 32,East,5,Florida,93,4,Illinois,76,17,2000
Round of 32,East,10,Seton Hall,67,2,Temple,65,2,2000
Round of 32,South,4,Tennessee,65,5,Connecticut,51,14,2000
Round of 32,South,6,"Miami, Florida",75,3,Ohio State,62,13,2000
Round of 32,South,7,Tulsa,69,2,Cincinnati,61,8,2000
Round of 32,South,8,North Carolina,60,1,Stanford,53,7,2000
Sweet Sixteen,Midwest,1,Michigan State,75,4,Syracuse,58,17,2000
Sweet Sixteen,Midwest,2,Iowa State,80,6,UCLA,56,24,2000
Sweet Sixteen,West,6,Purdue,75,10,Gonzaga,66,9,2000
Sweet Sixteen,West,8,Wisconsin,61,4,Louisiana State,48,13,2000
Sweet Sixteen,East,3,Oklahoma State,68,10,Seton Hall,66,2,2000
Sweet Sixteen,East,5,Florida,87,1,Duke,78,9,2000
Sweet Sixteen,South,7,Tulsa,80,6,"Miami, Florida",71,9,2000
Sweet Sixteen,South,8,North Carolina,74,4,Tennessee,69,5,2000
Elite Eight,Midwest,1,Michigan State,75,2,Iowa State,64,11,2000
Elite Eight,West,8,Wisconsin,64,6,Purdue,60,4,2000
Elite Eight,East,5,Florida,77,3,Oklahoma State,65,12,2000
Elite Eight,South,8,North Carolina,59,7,Tulsa,55,4,2000
National Semifinals,National Semifinals,1,Michigan State,53,8,Wisconsin,41,12,2000
National Semifinals,National Semifinals,5,Florida,71,8,North Carolina,59,12,2000
National Championship,National Championship,1,Michigan State,89,5,Florida,76,13,2000
Opening Round,Midwest,16,Northwestern State,71,16,Winthrop,67,4,2001
Round of 64,East,1,Duke,95,16,"Monmouth, New Jersey",52,43,2001
Round of 64,East,2,Kentucky,72,15,Holy Cross,68,4,2001
Round of 64,East,3,Boston College,68,14,Southern Utah,65,3,2001
Round of 64,East,4,UCLA,61,13,Hofstra,48,13,2001
Round of 64,East,6,Southern California,69,11,Oklahoma State,54,15,2001
Round of 64,East,7,Iowa,69,10,Creighton,56,13,2001
Round of 64,East,9,Missouri,70,8,Georgia,68,2,2001
Round of 64,East,12,Utah State,77,5,Ohio State,68,9,2001
Round of 64,West,1,Stanford,89,16,North Carolina-Greensboro,60,29,2001
Round of 64,West,3,Maryland,83,14,George Mason,80,3,2001
Round of 64,West,5,Cincinnati,84,12,Brigham Young,59,25,2001
Round of 64,West,9,"St. Joseph's, Pennsylvania",66,8,Georgia Tech,62,4,2001
Round of 64,West,10,Georgetown,63,7,Arkansas,61,2,2001
Round of 64,West,11,Georgia State,50,6,Wisconsin,49,1,2001
Round of 64,West,13,Kent State,77,4,Indiana,73,4,2001
Round of 64,West,15,Hampton,58,2,Iowa State,57,1,2001
Round of 64,Midwest,1,Illinois,96,16,Northwestern State,54,42,2001
Round of 64,Midwest,2,Arizona,101,15,Eastern Illinois,76,25,2001
Round of 64,Midwest,3,Mississippi,72,14,Iona,70,2,2001
Round of 64,Midwest,4,Kansas,99,13,California State-Northridge,75,24,2001
Round of 64,Midwest,5,Syracuse,79,12,Hawaii,69,10,2001
Round of 64,Midwest,6,Notre Dame,83,11,"Xavier, Ohio",71,12,2001
Round of 64,Midwest,9,Charlotte,70,8,Tennessee,63,7,2001
Round of 64,Midwest,10,Butler,79,7,Wake Forest,63,16,2001
Round of 64,South,1,Michigan State,69,16,Alabama State,35,34,2001
Round of 64,South,2,North Carolina,70,15,Princeton,48,22,2001
Round of 64,South,3,Florida,69,14,Western Kentucky,56,13,2001
Round of 64,South,7,Pennsylvania State,69,10,Providence,59,10,2001
Round of 64,South,9,Fresno State,82,8,California,70,12,2001
Round of 64,South,11,Temple,79,6,Texas,65,14,2001
Round of 64,South,12,Gonzaga,86,5,Virginia,85,1,2001
Round of 64,South,13,Indiana State,70,4,Oklahoma,68,2,2001
Round of 32,East,1,Duke,94,9,Missouri,81,13,2001
Round of 32,East,2,Kentucky,92,7,Iowa,79,13,2001
Round of 32,East,4,UCLA,75,12,Utah State,70,5,2001
Round of 32,East,6,Southern California,74,3,Boston College,71,3,2001
Round of 32,West,1,Stanford,90,9,"St. Joseph's, Pennsylvania",83,7,2001
Round of 32,West,3,Maryland,79,11,Georgia State,60,19,2001
Round of 32,West,5,Cincinnati,66,13,Kent State,43,23,2001
Round of 32,West,10,Georgetown,76,15,Hampton,57,19,2001
Round of 32,Midwest,1,Illinois,79,9,Charlotte,61,18,2001
Round of 32,Midwest,2,Arizona,73,10,Butler,52,21,2001
Round of 32,Midwest,3,Mississippi,59,6,Notre Dame,56,3,2001
Round of 32,Midwest,4,Kansas,87,5,Syracuse,58,29,2001
Round of 32,South,1,Michigan State,81,9,Fresno State,65,16,2001
Round of 32,South,7,Pennsylvania State,82,2,North Carolina,74,8,2001
Round of 32,South,11,Temple,75,3,Florida,54,21,2001
Round of 32,South,12,Gonzaga,85,13,Indiana State,68,17,2001
Sweet Sixteen,East,1,Duke,76,4,UCLA,63,13,2001
Sweet Sixteen,East,6,Southern California,80,2,Kentucky,76,4,2001
Sweet Sixteen,West,1,Stanford,78,5,Cincinnati,65,13,2001
Sweet Sixteen,West,3,Maryland,76,10,Georgetown,66,10,2001
Sweet Sixteen,Midwest,1,Illinois,80,4,Kansas,64,16,2001
Sweet Sixteen,Midwest,2,Arizona,66,3,Mississippi,56,10,2001
Sweet Sixteen,South,1,Michigan State,77,12,Gonzaga,62,15,2001
Sweet Sixteen,South,11,Temple,84,7,Pennsylvania State,72,12,2001
Elite Eight,East,1,Duke,79,6,Southern California,69,10,2001
Elite Eight,West,3,Maryland,87,1,Stanford,73,14,2001
Elite Eight,Midwest,2,Arizona,87,1,Illinois,81,6,2001
Elite Eight,South,1,Michigan State,69,11,Temple,62,7,2001
National Semifinals,National Semifinals,1,Duke,95,3,Maryland,84,11,2001
National Semifinals,National Semifinals,2,Arizona,80,1,Michigan State,61,19,2001
National Championship,National Championship,1,Duke,82,2,Arizona,72,10,2001
Opening Round,East,16,Siena,81,16,Alcorn State,77,4,2002
Round of 64,East,4,Kentucky,83,13,Valparaiso,68,15,2002
Round of 64,East,12,Tulsa,71,5,Marquette,69,2,2002
Round of 64,Midwest,1,Kansas,70,16,Holy Cross,59,11,2002
Round of 64,Midwest,2,Oregon,81,15,Montana,62,19,2002
Round of 64,Midwest,7,Wake Forest,83,10,Pepperdine,74,9,2002
Round of 64,Midwest,8,Stanford,84,9,Western Kentucky,68,16,2002
Round of 64,South,1,Duke,84,16,Winthrop,37,47,2002
Round of 64,South,2,Alabama,86,15,Florida Atlantic,78,8,2002
Round of 64,South,5,Indiana,75,12,Utah,56,19,2002
Round of 64,South,8,Notre Dame,82,9,Charlotte,63,19,2002
Round of 64,South,10,Kent State,69,7,Oklahoma State,61,8,2002
Round of 64,South,13,North Carolina-Wilmington,93,4,Southern California,89,4,2002
Round of 64,West,3,Arizona,86,14,California-Santa Barbara,81,5,2002
Round of 64,West,4,Ohio State,69,13,Davidson,64,5,2002
Round of 64,West,11,Wyoming,73,6,Gonzaga,66,7,2002
Round of 64,West,12,Missouri,93,5,"Miami, Florida",80,13,2002
Round of 64,East,1,Maryland,85,16,Siena,70,15,2002
Round of 64,East,2,Connecticut,78,15,Hampton,67,11,2002
Round of 64,East,3,Georgia,85,14,Murray State,68,17,2002
Round of 64,East,7,North Carolina State,69,10,Michigan State,58,11,2002
Round of 64,East,8,Wisconsin,80,9,"St. John's, New York",70,10,2002
Round of 64,East,11,Southern Illinois,76,6,Texas Tech,68,8,2002
Round of 64,Midwest,3,Mississippi State,70,14,McNeese State,58,12,2002
Round of 64,Midwest,4,Illinois,93,13,San Diego State,64,29,2002
Round of 64,Midwest,6,Texas,70,11,Boston College,57,13,2002
Round of 64,Midwest,12,Creighton,83,5,Florida,82,1,2002
Round of 64,South,3,Pittsburgh,71,14,Central Connecticut State,54,17,2002
Round of 64,South,6,California,82,11,Pennsylvania,75,7,2002
Round of 64,West,1,Cincinnati,90,16,Boston,52,38,2002
Round of 64,West,2,Oklahoma,71,15,Illinois-Chicago,63,8,2002
Round of 64,West,7,"Xavier, Ohio",70,10,Hawaii,58,12,2002
Round of 64,West,8,UCLA,80,9,Mississippi,58,22,2002
Round of 32,East,4,Kentucky,87,12,Tulsa,82,5,2002
Round of 32,Midwest,1,Kansas,86,8,Stanford,63,23,2002
Round of 32,Midwest,2,Oregon,92,7,Wake Forest,87,5,2002
Round of 32,South,1,Duke,84,8,Notre Dame,77,7,2002
Round of 32,South,5,Indiana,76,13,North Carolina-Wilmington,67,9,2002
Round of 32,South,10,Kent State,71,2,Alabama,58,13,2002
Round of 32,West,3,Arizona,68,11,Wyoming,60,8,2002
Round of 32,West,12,Missouri,83,4,Ohio State,67,16,2002
Round of 32,East,1,Maryland,87,8,Wisconsin,57,30,2002
Round of 32,East,2,Connecticut,77,7,North Carolina State,74,3,2002
Round of 32,East,11,Southern Illinois,77,3,Georgia,75,2,2002
Round of 32,Midwest,4,Illinois,72,12,Creighton,60,12,2002
Round of 32,Midwest,6,Texas,68,3,Mississippi State,64,4,2002
Round of 32,South,3,Pittsburgh,63,6,California,50,13,2002
Round of 32,West,2,Oklahoma,78,7,"Xavier, Ohio",65,13,2002
Round of 32,West,8,UCLA,105,1,Cincinnati,101,4,2002
Sweet Sixteen,South,5,Indiana,74,1,Duke,73,1,2002
Sweet Sixteen,South,10,Kent State,78,3,Pittsburgh,73,5,2002
Sweet Sixteen,West,2,Oklahoma,88,3,Arizona,67,21,2002
Sweet Sixteen,West,12,Missouri,82,8,UCLA,73,9,2002
Sweet Sixteen,East,1,Maryland,78,4,Kentucky,68,10,2002
Sweet Sixteen,East,2,Connecticut,71,11,Southern Illinois,59,12,2002
Sweet Sixteen,Midwest,1,Kansas,73,4,Illinois,69,4,2002
Sweet Sixteen,Midwest,2,Oregon,72,6,Texas,70,2,2002
Elite Eight,South,5,Indiana,81,10,Kent State,69,12,2002
Elite Eight,West,2,Oklahoma,81,12,Missouri,75,6,2002
Elite Eight,East,1,Maryland,90,2,Connecticut,82,8,2002
Elite Eight,Midwest,1,Kansas,104,2,Oregon,86,18,2002
National Semifinals,National Semifinals,1,Maryland,97,1,Kansas,88,9,2002
National Semifinals,National Semifinals,5,Indiana,73,2,Oklahoma,64,9,2002
National Championship,National Championship,1,Maryland,64,5,Indiana,52,12,2002
Opening Round,South,16,North Carolina-Asheville,92,16,Texas Southern,84,8,2003
Round of 64,East,1,Oklahoma,71,16,South Carolina State,54,17,2003
Round of 64,East,8,California,76,9,North Carolina State,74,2,2003
Round of 64,Midwest,3,Marquette,72,14,Holy Cross,68,4,2003
Round of 64,Midwest,5,Wisconsin,81,12,Weber State,74,7,2003
Round of 64,Midwest,6,Missouri,72,11,Southern Illinois,71,1,2003
Round of 64,Midwest,13,Tulsa,84,4,Dayton,71,13,2003
Round of 64,South,4,Stanford,77,13,San Diego,69,8,2003
Round of 64,South,5,Connecticut,58,12,Brigham Young,53,5,2003
Round of 64,West,1,Arizona,80,16,Vermont,51,29,2003
Round of 64,West,2,Kansas,64,15,Utah State,61,3,2003
Round of 64,West,3,Duke,67,14,Colorado State,57,10,2003
Round of 64,West,4,Illinois,65,13,Western Kentucky,60,5,2003
Round of 64,West,5,Notre Dame,70,12,Milwaukee,69,1,2003
Round of 64,West,9,Gonzaga,74,8,Cincinnati,69,5,2003
Round of 64,West,10,Arizona State,84,7,Memphis,71,13,2003
Round of 64,West,11,Central Michigan,79,6,Creighton,73,6,2003
Round of 64,East,2,Wake Forest,76,15,East Tennessee State,73,3,2003
Round of 64,East,3,Syracuse,76,14,Manhattan,65,11,2003
Round of 64,East,4,Louisville,86,13,Austin Peay,64,22,2003
Round of 64,East,6,Oklahoma State,77,11,Pennsylvania,63,14,2003
Round of 64,East,10,Auburn,65,7,"St. Joseph's, Pennsylvania",63,2,2003
Round of 64,East,12,Butler,47,5,Mississippi State,46,1,2003
Round of 64,Midwest,1,Kentucky,95,16,IUPUI,64,31,2003
Round of 64,Midwest,2,Pittsburgh,87,15,Wagner,61,26,2003
Round of 64,Midwest,7,Indiana,67,10,Alabama,62,5,2003
Round of 64,Midwest,9,Utah,60,8,Oregon,58,2,2003
Round of 64,South,1,Texas,82,16,North Carolina-Asheville,61,21,2003
Round of 64,South,2,Florida,85,15,Sam Houston State,55,30,2003
Round of 64,South,3,"Xavier, Ohio",71,14,Troy,59,12,2003
Round of 64,South,6,Maryland,75,11,North Carolina-Wilmington,73,2,2003
Round of 64,South,7,Michigan State,79,10,Colorado,64,15,2003
Round of 64,South,9,Purdue,80,8,Louisiana State,56,24,2003
Round of 32,East,1,Oklahoma,74,8,California,65,9,2003
Round of 32,Midwest,3,Marquette,101,6,Missouri,92,9,2003
Round of 32,Midwest,5,Wisconsin,61,13,Tulsa,60,1,2003
Round of 32,South,5,Connecticut,85,4,Stanford,74,11,2003
Round of 32,West,1,Arizona,96,9,Gonzaga,95,1,2003
Round of 32,West,2,Kansas,108,10,Arizona State,76,32,2003
Round of 32,West,3,Duke,86,11,Central Michigan,60,26,2003
Round of 32,West,5,Notre Dame,68,4,Illinois,60,8,2003
Round of 32,East,3,Syracuse,68,6,Oklahoma State,56,12,2003
Round of 32,East,10,Auburn,68,2,Wake Forest,62,6,2003
Round of 32,East,12,Butler,79,4,Louisville,71,8,2003
Round of 32,Midwest,1,Kentucky,74,9,Utah,54,20,2003
Round of 32,Midwest,2,Pittsburgh,74,7,Indiana,52,22,2003
Round of 32,South,1,Texas,77,9,Purdue,67,10,2003
Round of 32,South,6,Maryland,77,3,"Xavier, Ohio",64,13,2003
Round of 32,South,7,Michigan State,68,2,Florida,46,22,2003
Sweet Sixteen,Midwest,1,Kentucky,63,5,Wisconsin,57,6,2003
Sweet Sixteen,Midwest,3,Marquette,77,2,Pittsburgh,74,3,2003
Sweet Sixteen,West,1,Arizona,88,5,Notre Dame,71,17,2003
Sweet Sixteen,West,2,Kansas,69,3,Duke,65,4,2003
Sweet Sixteen,East,1,Oklahoma,65,12,Butler,54,11,2003
Sweet Sixteen,East,3,Syracuse,79,10,Auburn,78,1,2003
Sweet Sixteen,South,1,Texas,82,5,Connecticut,78,4,2003
Sweet Sixteen,South,7,Michigan State,60,6,Maryland,58,2,2003
Elite Eight,Midwest,3,Marquette,83,1,Kentucky,69,14,2003
Elite Eight,West,2,Kansas,78,1,Arizona,75,3,2003
Elite Eight,East,3,Syracuse,63,1,Oklahoma,47,16,2003
Elite Eight,South,1,Texas,85,7,Michigan State,76,9,2003
National Semifinals,National Semifinals,2,Kansas,94,3,Marquette,61,33,2003
National Semifinals,National Semifinals,3,Syracuse,95,1,Texas,84,11,2003
National Championship,National Championship,3,Syracuse,81,2,Kansas,78,3,2003
Opening Round,Midwest,16,Florida A&M,72,16,Lehigh,57,15,2004
Round of 64,East,1,"St. Joseph's, Pennsylvania",82,16,Liberty,63,19,2004
Round of 64,East,4,Wake Forest,79,13,Virginia Commonwealth,78,1,2004
Round of 64,East,8,Texas Tech,76,9,Charlotte,73,3,2004
Round of 64,East,12,Manhattan,75,5,Florida,60,15,2004
Round of 64,Midwest,2,Gonzaga,76,15,Valparaiso,49,27,2004
Round of 64,Midwest,10,Nevada,72,7,Michigan State,66,6,2004
Round of 64,South,1,Duke,96,16,Alabama State,61,35,2004
Round of 64,South,3,Texas,66,14,Princeton,49,17,2004
Round of 64,South,6,North Carolina,63,11,Air Force,52,11,2004
Round of 64,South,8,Seton Hall,80,9,Arizona,76,4,2004
Round of 64,West,1,Stanford,71,16,Texas-San Antonio,45,26,2004
Round of 64,West,2,Connecticut,70,15,Vermont,53,17,2004
Round of 64,West,4,Maryland,86,13,Texas-El Paso,83,3,2004
Round of 64,West,5,Syracuse,80,12,Brigham Young,75,5,2004
Round of 64,West,7,DePaul,76,10,Dayton,69,7,2004
Round of 64,West,8,Alabama,65,9,Southern Illinois,64,1,2004
Round of 64,East,2,Oklahoma State,75,15,Eastern Washington,56,19,2004
Round of 64,East,3,Pittsburgh,53,14,Central Florida,44,9,2004
Round of 64,East,6,Wisconsin,76,11,Richmond,64,12,2004
Round of 64,East,7,Memphis,59,10,South Carolina,43,16,2004
Round of 64,Midwest,1,Kentucky,96,16,Florida A&M,76,20,2004
Round of 64,Midwest,3,Georgia Tech,65,14,Northern Iowa,60,5,2004
Round of 64,Midwest,4,Kansas,78,13,Illinois-Chicago,53,25,2004
Round of 64,Midwest,6,Boston College,58,11,Utah,51,7,2004
Round of 64,Midwest,9,UAB,102,8,Washington,100,2,2004
Round of 64,Midwest,12,"Pacific, California",66,5,Providence,58,8,2004
Round of 64,South,2,Mississippi State,85,15,"Monmouth, New Jersey",52,33,2004
Round of 64,South,4,Cincinnati,80,13,East Tennessee State,77,3,2004
Round of 64,South,5,Illinois,72,12,Murray State,53,19,2004
Round of 64,South,7,"Xavier, Ohio",80,10,Louisville,70,10,2004
Round of 64,West,3,North Carolina State,61,14,Louisiana-Lafayette,52,9,2004
Round of 64,West,6,Vanderbilt,71,11,Western Michigan,58,13,2004
Round of 32,East,1,"St. Joseph's, Pennsylvania",70,8,Texas Tech,65,5,2004
Round of 32,East,4,Wake Forest,84,12,Manhattan,80,4,2004
Round of 32,Midwest,10,Nevada,91,2,Gonzaga,72,19,2004
Round of 32,South,1,Duke,90,8,Seton Hall,62,28,2004
Round of 32,South,3,Texas,78,6,North Carolina,75,3,2004
Round of 32,West,2,Connecticut,72,7,DePaul,55,17,2004
Round of 32,West,5,Syracuse,72,4,Maryland,70,2,2004
Round of 32,West,8,Alabama,70,1,Stanford,67,3,2004
Round of 32,East,2,Oklahoma State,70,7,Memphis,53,17,2004
Round of 32,East,3,Pittsburgh,59,6,Wisconsin,55,4,2004
Round of 32,Midwest,3,Georgia Tech,57,6,Boston College,54,3,2004
Round of 32,Midwest,4,Kansas,78,12,"Pacific, California",63,15,2004
Round of 32,Midwest,9,UAB,76,1,Kentucky,75,1,2004
Round of 32,South,5,Illinois,92,4,Cincinnati,68,24,2004
Round of 32,South,7,"Xavier, Ohio",89,2,Mississippi State,74,15,2004
Round of 32,West,6,Vanderbilt,75,3,North Carolina State,73,2,2004
Sweet Sixteen,East,1,"St. Joseph's, Pennsylvania",84,4,Wake Forest,80,4,2004
Sweet Sixteen,East,2,Oklahoma State,63,3,Pittsburgh,51,12,2004
Sweet Sixteen,West,2,Connecticut,73,6,Vanderbilt,53,20,2004
Sweet Sixteen,West,8,Alabama,80,5,Syracuse,71,9,2004
Sweet Sixteen,Midwest,3,Georgia Tech,72,10,Nevada,67,5,2004
Sweet Sixteen,Midwest,4,Kansas,100,9,UAB,74,26,2004
Sweet Sixteen,South,1,Duke,72,5,Illinois,62,10,2004
Sweet Sixteen,South,7,"Xavier, Ohio",79,3,Texas,71,8,2004
Elite Eight,East,2,Oklahoma State,64,1,"St. Joseph's, Pennsylvania",62,2,2004
Elite Eight,West,2,Connecticut,87,8,Alabama,71,16,2004
Elite Eight,Midwest,3,Georgia Tech,79,4,Kansas,71,8,2004
Elite Eight,South,1,Duke,66,7,"Xavier, Ohio",63,3,2004
National Semifinals,National Semifinals,2,Connecticut,79,1,Duke,78,1,2004
National Semifinals,National Semifinals,3,Georgia Tech,67,2,Oklahoma State,65,2,2004
National Championship,National Championship,2,Connecticut,82,3,Georgia Tech,73,9,2004
Opening Round,East,16,Oakland,79,16,Alabama A&M,69,10,2005
Round of 64,Midwest,1,Illinois,67,16,Fairleigh Dickinson,55,12,2005
Round of 64,Midwest,3,Arizona,66,14,Utah State,53,13,2005
Round of 64,Midwest,4,Boston College,85,13,Pennsylvania,65,20,2005
Round of 64,Midwest,9,Nevada,61,8,Texas,57,4,2005
Round of 64,Midwest,11,UAB,82,6,Louisiana State,68,14,2005
Round of 64,Midwest,12,Milwaukee,83,5,Alabama,73,10,2005
Round of 64,South,2,Kentucky,72,15,Eastern Kentucky,64,8,2005
Round of 64,South,3,Oklahoma,84,14,Niagara,67,17,2005
Round of 64,South,6,Utah,60,11,Texas-El Paso,54,6,2005
Round of 64,South,7,Cincinnati,76,10,Iowa,64,12,2005
Round of 64,West,1,Washington,88,16,Montana,77,11,2005
Round of 64,West,2,Wake Forest,70,15,Chattanooga,54,16,2005
Round of 64,West,3,Gonzaga,74,14,Winthrop,64,10,2005
