round,region,winner_seed,winner_team,winner_score,loser_seed,loser,loser_score,score_diff,year
Sweet Sixteen,Midwest,6,Kansas,77,7,Vanderbilt,64,13,1988
Sweet Sixteen,West,1,Arizona,99,5,Iowa,79,20,1988
Sweet Sixteen,West,2,North Carolina,78,3,Michigan,69,9,1988
Elite Eight,East,2,Duke,63,1,Temple,53,10,1988
Elite Eight,Southeast,1,Oklahoma,78,6,Villanova,59,19,1988
Elite Eight,Midwest,6,Kansas,71,4,Kansas State,58,13,1988
Elite Eight,West,1,Arizona,70,2,North Carolina,52,18,1988
National Semifinals,National Semifinals,1,Oklahoma,86,1,Arizona,78,8,1988
National Semifinals,National Semifinals,6,Kansas,66,2,Duke,59,7,1988
National Championship,National Championship,6,Kansas,83,1,Oklahoma,79,4,1988
Round of 64,East,2,Duke,90,15,South Carolina State,69,21,1989
Round of 64,East,7,West Virginia,84,10,Tennessee,68,16,1989
Round of 64,East,11,Minnesota,86,6,Kansas State,75,11,1989
Round of 64,East,14,Siena,80,3,Stanford,78,2,1989
Round of 64,Midwest,1,Illinois,77,16,McNeese State,71,6,1989
Round of 64,Midwest,4,Louisville,76,13,Arkansas-Little Rock,71,5,1989
Round of 64,Midwest,5,Arkansas,120,12,Loyola Marymount,101,19,1989
Round of 64,Midwest,9,Ball State,68,8,Pittsburgh,64,4,1989
Round of 64,Southeast,1,Oklahoma,72,16,East Tennessee State,71,1,1989
Round of 64,Southeast,5,Virginia,100,12,Providence,97,3,1989
Round of 64,Southeast,9,Louisiana Tech,83,8,La Salle,74,9,1989
Round of 64,Southeast,13,Middle Tennessee State,97,4,Florida State,83,14,1989
Round of 64,West,1,Arizona,94,16,Robert Morris,60,34,1989
Round of 64,West,4,Nevada-Las Vegas,68,13,Idaho,56,12,1989
Round of 64,West,9,Clemson,83,8,"St. Mary's, California",70,13,1989
Round of 64,West,12,DePaul,66,5,Memphis,63,3,1989
Round of 64,East,1,Georgetown,50,16,Princeton,49,1,1989
Round of 64,East,4,Iowa,87,13,Rutgers,73,14,1989
Round of 64,East,5,North Carolina State,81,12,South Carolina,66,15,1989
Round of 64,East,9,Notre Dame,81,8,Vanderbilt,65,16,1989
Round of 64,Midwest,2,Syracuse,104,15,Bucknell,81,23,1989
Round of 64,Midwest,3,Missouri,85,14,Creighton,69,16,1989
Round of 64,Midwest,10,Colorado State,68,7,Florida,46,22,1989
Round of 64,Midwest,11,Texas,76,6,Georgia Tech,70,6,1989
Round of 64,Southeast,2,North Carolina,93,15,Southern,79,14,1989
Round of 64,Southeast,3,Michigan,92,14,"Xavier, Ohio",87,5,1989
Round of 64,Southeast,7,UCLA,84,10,Iowa State,74,10,1989
Round of 64,Southeast,11,South Alabama,86,6,Alabama,84,2,1989
Round of 64,West,2,Indiana,99,15,George Mason,85,14,1989
Round of 64,West,3,Seton Hall,60,14,Missouri State,51,9,1989
Round of 64,West,7,Texas-El Paso,85,10,Louisiana State,74,11,1989
Round of 64,West,11,Evansville,94,6,Oregon State,90,4,1989
Round of 32,East,2,Duke,70,7,West Virginia,63,7,1989
Round of 32,East,11,Minnesota,80,14,Siena,67,13,1989
Round of 32,Midwest,1,Illinois,72,9,Ball State,60,12,1989
Round of 32,Midwest,4,Louisville,93,5,Arkansas,84,9,1989
Round of 32,Southeast,1,Oklahoma,124,9,Louisiana Tech,81,43,1989
Round of 32,Southeast,5,Virginia,104,13,Middle Tennessee State,88,16,1989
Round of 32,West,1,Arizona,94,9,Clemson,68,26,1989
Round of 32,West,4,Nevada-Las Vegas,85,12,DePaul,70,15,1989
Round of 32,East,1,Georgetown,81,9,Notre Dame,74,7,1989
Round of 32,East,5,North Carolina State,102,4,Iowa,96,6,1989
Round of 32,Midwest,2,Syracuse,65,10,Colorado State,50,15,1989
Round of 32,Midwest,3,Missouri,108,11,Texas,89,19,1989
Round of 32,Southeast,2,North Carolina,88,7,UCLA,81,7,1989
Round of 32,Southeast,3,Michigan,91,11,South Alabama,82,9,1989
Round of 32,West,2,Indiana,92,7,Texas-El Paso,69,23,1989
Round of 32,West,3,Seton Hall,87,11,Evansville,73,14,1989
Sweet Sixteen,Southeast,3,Michigan,92,2,North Carolina,87,5,1989
Sweet Sixteen,Southeast,5,Virginia,86,1,Oklahoma,80,6,1989
Sweet Sixteen,West,3,Seton Hall,78,2,Indiana,65,13,1989
Sweet Sixteen,West,4,Nevada-Las Vegas,68,1,Arizona,67,1,1989
Sweet Sixteen,East,1,Georgetown,69,5,North Carolina State,61,8,1989
Sweet Sixteen,East,2,Duke,87,11,Minnesota,70,17,1989
Sweet Sixteen,Midwest,1,Illinois,83,4,Louisville,69,14,1989
Sweet Sixteen,Midwest,2,Syracuse,83,3,Missouri,80,3,1989
Elite Eight,Southeast,3,Michigan,102,5,Virginia,65,37,1989
Elite Eight,West,3,Seton Hall,84,4,Nevada-Las Vegas,61,23,1989
Elite Eight,East,2,Duke,85,1,Georgetown,77,8,1989
Elite Eight,Midwest,1,Illinois,89,2,Syracuse,86,3,1989
National Semifinals,National Semifinals,3,Michigan,83,1,Illinois,81,2,1989
National Semifinals,National Semifinals,3,Seton Hall,95,2,Duke,78,17,1989
National Championship,National Championship,3,Michigan,80,3,Seton Hall,79,1,1989
Round of 64,East,1,Connecticut,76,16,Boston,52,24,1990
Round of 64,East,4,La Salle,79,13,Southern Mississippi,63,16,1990
Round of 64,East,5,Clemson,49,12,Brigham Young,47,2,1990
Round of 64,East,9,California,65,8,Indiana,63,2,1990
Round of 64,Midwest,1,Oklahoma,77,16,Towson,68,9,1990
Round of 64,Midwest,4,Arkansas,68,13,Princeton,64,4,1990
Round of 64,Midwest,8,North Carolina,83,9,Missouri State,70,13,1990
Round of 64,Midwest,12,Dayton,88,5,Illinois,86,2,1990
Round of 64,Southeast,1,Michigan State,75,16,Murray State,71,4,1990
Round of 64,Southeast,4,Georgia Tech,99,13,East Tennessee State,83,16,1990
Round of 64,Southeast,5,Louisiana State,70,12,Villanova,63,7,1990
Round of 64,Southeast,9,California-Santa Barbara,70,8,Houston,66,4,1990
Round of 64,West,1,Nevada-Las Vegas,102,16,Arkansas-Little Rock,72,30,1990
Round of 64,West,4,Louisville,78,13,Idaho,59,19,1990
